codigo;disciplina;area;habilidade;tema;dificuldade;local;apoio;enunciado;alternativa_A;alternativa_B;alternativa_C;alternativa_D;gabarito;explicacao;publicada;revisada_humano
ARENA6-CIE-008;Ciências;Ciências da Natureza;EF06CI03;Separação de misturas;medio;laboratorio;;A evaporação pode ser utilizada para obter:;Sal dissolvido na água;Pedras misturadas à areia;Ferro misturado ao plástico;Óleo sobre a água;A;Ao evaporar a água salgada, o sal permanece.;True;False
ARENA6-CIE-009;Ciências;Ciências da Natureza;EF06CI04;Materiais sintéticos;medio;laboratorio;;Medicamentos e plásticos são exemplos de materiais cuja produção está ligada:;Somente a fenômenos naturais;Ao desenvolvimento científico e tecnológico;À ausência de pesquisa;Apenas ao artesanato antigo;B;Esses materiais resultam de conhecimentos e processos científicos e tecnológicos.;True;False
ARENA6-CIE-010;Ciências;Ciências da Natureza;EF06CI04;Impactos socioambientais;medio;laboratorio;;Uma ação adequada em relação aos materiais sintéticos é:;Descartá-los em qualquer lugar;Usá-los e descartá-los de modo responsável;Queimá-los sempre;Lançá-los nos rios;B;O uso responsável e o descarte correto reduzem impactos ambientais.;True;False
ARENA6-CIE-011;Ciências;Ciências da Natureza;EF06CI05;Células;medio;zoologico;;A unidade estrutural e funcional básica dos seres vivos é:;O átomo;A célula;O planeta;A rocha;B;Todos os seres vivos são formados por uma ou mais células.;True;False
ARENA6-CIE-012;Ciências;Ciências da Natureza;EF06CI05;Células;medio;zoologico;;Qual estrutura controla muitas atividades da célula e contém material genético?;Núcleo;Parede da sala;Articulação;Rocha;A;O núcleo celular abriga material genético e participa do controle celular.;True;False
ARENA6-CIE-013;Ciências;Ciências da Natureza;EF06CI06;Níveis de organização;medio;zoologico;;Qual sequência está do menor para o maior nível de organização?;Órgão, tecido, célula, sistema;Célula, tecido, órgão, sistema;Sistema, órgão, tecido, célula;Tecido, célula, sistema, órgão;B;Células formam tecidos, tecidos formam órgãos e órgãos integram sistemas.;True;False
ARENA6-CIE-014;Ciências;Ciências da Natureza;EF06CI06;Organização dos seres vivos;medio;zoologico;;O estômago é um exemplo de:;Célula;Tecido;Órgão;Organismo;C;O estômago é um órgão do sistema digestório.;True;False
ARENA6-CIE-015;Ciências;Ciências da Natureza;EF06CI07;Sistema nervoso;medio;zoologico;;O sistema nervoso participa principalmente de:;Coordenar respostas e receber informações do ambiente;Produzir rochas;Separar misturas;Formar nuvens;A;Ele recebe, processa informações e coordena ações do corpo.;True;False
ARENA6-CIE-016;Ciências;Ciências da Natureza;EF06CI07;Sistema nervoso;medio;zoologico;;Qual órgão faz parte do sistema nervoso central?;Cérebro;Estômago;Fêmur;Pulmão;A;O cérebro integra o sistema nervoso central.;True;False
ARENA6-CIE-017;Ciências;Ciências da Natureza;EF06CI08;Visão;medio;zoologico;;A parte do olho que regula a quantidade de luz que entra é:;Íris;Fêmur;Tímpano;Traqueia;A;A íris controla o tamanho da pupila e a entrada de luz.;True;False
ARENA6-CIE-018;Ciências;Ciências da Natureza;EF06CI08;Visão;medio;zoologico;;Óculos com lentes corretivas são usados para:;Aumentar a audição;Corrigir alguns defeitos da visão;Fortalecer os ossos;Separar misturas;B;As lentes ajudam a focalizar adequadamente as imagens.;True;False
ARENA6-CIE-019;Ciências;Ciências da Natureza;EF06CI09;Sistemas do corpo;medio;zoologico;;A movimentação do corpo depende da interação entre os sistemas:;Ósseo, muscular e nervoso;Digestório e planetário;Rochoso e atmosférico;Celular e mineral;A;O esqueleto sustenta, os músculos produzem movimento e o sistema nervoso coordena.;True;False
ARENA6-CIE-020;Ciências;Ciências da Natureza;EF06CI09;Sistema locomotor;medio;zoologico;;Os ossos têm entre suas funções:;Sustentar e proteger o corpo;Produzir pensamentos;Realizar fotossíntese;Formar nuvens;A;Os ossos sustentam o corpo e protegem órgãos.;True;False
ARENA6-CIE-021;Ciências;Ciências da Natureza;EF06CI10;Saúde;medio;zoologico;;Substâncias psicoativas podem alterar:;O funcionamento do sistema nervoso;A composição das rochas apenas;O movimento da Lua;A formação de fósseis;A;Elas atuam no sistema nervoso e podem mudar percepção, humor ou comportamento.;True;False
ARENA6-CIE-022;Ciências;Ciências da Natureza;EF06CI10;Saúde;medio;zoologico;;Uma atitude de proteção à saúde é:;Usar medicamentos sem orientação;Seguir orientação de profissionais de saúde;Compartilhar remédios;Misturar substâncias desconhecidas;B;Medicamentos devem ser utilizados com orientação adequada.;True;False
ARENA6-CIE-023;Ciências;Ciências da Natureza;EF06CI11;Camadas da Terra;medio;floresta;;A camada mais externa e sólida da Terra é a:;Crosta;Núcleo interno;Atmosfera solar;Lua;A;A crosta é a camada sólida mais externa do planeta.;True;False
ARENA6-CIE-024;Ciências;Ciências da Natureza;EF06CI11;Camadas da Terra;medio;floresta;;A camada gasosa que envolve a Terra é chamada de:;Hidrosfera;Atmosfera;Crosta;Manto;B;A atmosfera é o conjunto de gases ao redor do planeta.;True;False
ARENA6-CIE-025;Ciências;Ciências da Natureza;EF06CI11;Camadas da Terra;medio;floresta;;O manto localiza-se:;Entre a crosta e o núcleo;Acima da atmosfera;Dentro dos oceanos apenas;Fora do planeta;A;O manto está abaixo da crosta e acima do núcleo.;True;False
ARENA6-CIE-026;Ciências;Ciências da Natureza;EF06CI12;Rochas;medio;floresta;;Fósseis são encontrados com maior frequência em rochas:;Sedimentares;Metálicas artificiais;Líquidas;Magmáticas recém-formadas;A;A deposição de sedimentos pode preservar restos e vestígios de seres vivos.;True;False
ARENA6-CIE-027;Ciências;Ciências da Natureza;EF06CI12;Rochas;medio;floresta;;Granito é um exemplo de rocha:;Ígnea ou magmática;Sedimentar orgânica apenas;Gasosa;Sintética;A;O granito se forma pelo resfriamento lento do magma em profundidade.;True;False
ARENA6-CIE-028;Ciências;Ciências da Natureza;EF06CI12;Rochas;medio;floresta;;Rochas sedimentares geralmente se formam pela:;Acumulação e compactação de sedimentos;Fusão do ar;Evaporação do ferro;Produção de células;A;Sedimentos se depositam, compactam e cimentam ao longo do tempo.;True;False
ARENA6-CIE-029;Ciências;Ciências da Natureza;EF06CI13;Forma da Terra;medio;floresta;;Qual evidência apoia a esfericidade da Terra?;A sombra circular da Terra em eclipses lunares;O formato quadrado dos mapas;A existência de prédios;O som dos trovões;A;Durante eclipses lunares, a sombra terrestre projetada na Lua é curva.;True;False
ARENA6-CIE-030;Ciências;Ciências da Natureza;EF06CI13;Forma da Terra;medio;floresta;;Navios parecem desaparecer primeiro pela parte inferior no horizonte porque:;A superfície terrestre é curva;O oceano termina;O navio diminui de verdade;As nuvens empurram o navio;A;A curvatura da Terra oculta primeiro as partes mais baixas.;True;False
ARENA6-CIE-031;Ciências;Ciências da Natureza;EF06CI14;Movimentos da Terra;medio;floresta;;O movimento de rotação da Terra está relacionado principalmente:;À alternância entre dia e noite;À formação das rochas;À produção de células;Ao formato dos continentes;A;A rotação em torno do próprio eixo produz a alternância de iluminação.;True;False
ARENA6-CIE-032;Ciências;Ciências da Natureza;EF06CI14;Movimentos da Terra;medio;floresta;;O movimento de translação é o deslocamento da Terra:;Ao redor do Sol;Ao redor da Lua somente;Dentro do núcleo;Em torno de uma cidade;A;Translação é o movimento da Terra em sua órbita ao redor do Sol.;True;False
ARENA6-CIE-033;Ciências;Ciências da Natureza;EF06CI14;Sombras;medio;floresta;;Ao longo do dia, a sombra de um objeto muda principalmente porque:;Muda a posição aparente do Sol no céu;O objeto troca de material;A Terra para de girar;A luz deixa de existir;A;A rotação da Terra altera a posição aparente do Sol e a direção/tamanho das sombras.;True;False
ARENA6-CIE-034;Ciências;Ciências da Natureza;EF06CI03;Separação de misturas;medio;laboratorio;;Para separar grãos de tamanhos diferentes, pode-se utilizar:;Peneiração;Fusão;Combustão;Fermentação;A;A peneira separa partículas conforme o tamanho.;True;False
ARENA6-CIE-035;Ciências;Ciências da Natureza;EF06CI01;Misturas;medio;laboratorio;;O ar atmosférico é melhor descrito como:;Uma mistura de gases;Uma substância formada só por oxigênio;Uma rocha invisível;Um líquido puro;A;O ar contém vários gases, como nitrogênio e oxigênio.;True;False
ARENA6-HIS-001;História;Ciências Humanas;EF06HI01;Tempo histórico;medio;museu;;Organizar fatos em ordem cronológica significa:;Colocá-los na sequência em que ocorreram;Misturá-los sem considerar datas;Separá-los pelo tamanho;Escolher apenas o mais recente;A;A cronologia organiza acontecimentos segundo sua sequência no tempo.;True;False
ARENA6-HIS-002;História;Ciências Humanas;EF06HI01;Tempo histórico;medio;museu;;Uma década corresponde a:;5 anos;10 anos;50 anos;100 anos;B;Uma década tem dez anos.;True;False
ARENA6-HIS-003;História;Ciências Humanas;EF06HI01;Tempo histórico;medio;museu;;Um século corresponde a:;10 anos;50 anos;100 anos;1.000 anos;C;Um século é um período de cem anos.;True;False
ARENA6-HIS-004;História;Ciências Humanas;EF06HI02;Fontes históricas;medio;museu;;Qual item pode ser uma fonte histórica?;Carta antiga;Somente livros didáticos atuais;Apenas objetos novos;Nenhum relato oral;A;Cartas registram informações sobre pessoas e épocas.;True;False
ARENA6-HIS-005;História;Ciências Humanas;EF06HI02;Fontes históricas;medio;museu;;Relatos de pessoas mais velhas podem ser usados como fontes:;Orais;Somente matemáticas;Geológicas;Impossíveis;A;Depoimentos e memórias são fontes orais.;True;False
ARENA6-HIS-006;História;Ciências Humanas;EF06HI02;Fontes históricas;medio;museu;;Uma fotografia antiga pode ajudar o historiador a investigar:;Vestimentas, lugares e costumes de uma época;Somente o futuro;A composição do núcleo da Terra;A fórmula da água;A;Imagens registram aspectos visuais e sociais do passado.;True;False
ARENA6-HIS-007;História;Ciências Humanas;EF06HI03;Origem humana;medio;museu;;Segundo evidências científicas, os primeiros seres humanos surgiram:;Na África;Na América do Sul;Na Antártida;Na Oceania;A;As evidências mais antigas da evolução humana estão no continente africano.;True;False
ARENA6-HIS-008;História;Ciências Humanas;EF06HI04;Povoamento da América;medio;museu;;Uma hipótese sobre o povoamento da América propõe a passagem de grupos humanos:;Pelo estreito de Bering;Pelo centro do Sol;Por túneis modernos;Somente por aviões;A;Em períodos glaciais, grupos teriam atravessado a região de Bering.;True;False
ARENA6-HIS-009;História;Ciências Humanas;EF06HI05;Sedentarização;medio;museu;;A agricultura contribuiu para a sedentarização porque permitiu:;Produzir alimentos em locais fixos;Viver sempre em movimento;Eliminar todas as ferramentas;Abandonar aldeias;A;O cultivo favoreceu a permanência em um território e a formação de aldeias.;True;False
ARENA6-HIS-010;História;Ciências Humanas;EF06HI05;Nomadismo e sedentarismo;medio;museu;;Povos nômades caracterizam-se por:;Deslocar-se em busca de recursos;Viver sempre no mesmo lugar;Usar apenas escrita digital;Construir somente cidades muradas;A;O nomadismo envolve deslocamentos conforme recursos e condições ambientais.;True;False
ARENA6-HIS-011;História;Ciências Humanas;EF06HI06;Primeiras cidades;medio;museu;;O crescimento das aldeias e a produção de excedentes favoreceram:;A formação de cidades;O desaparecimento do comércio;A extinção da agricultura;A ausência de divisão do trabalho;A;Excedentes e especialização contribuíram para sociedades urbanas mais complexas.;True;False
ARENA6-HIS-012;História;Ciências Humanas;EF06HI07;Mesopotâmia;medio;museu;;A Mesopotâmia desenvolveu-se entre os rios:;Tigre e Eufrates;Nilo e Amazonas;Danúbio e Reno;Acre e Juruá;A;A região mesopotâmica localizava-se entre os rios Tigre e Eufrates.;True;False
ARENA6-HIS-013;História;Ciências Humanas;EF06HI07;Egito Antigo;medio;museu;;A agricultura egípcia dependia fortemente das cheias do rio:;Nilo;Tigre;Ganges;Mississippi;A;As cheias do Nilo fertilizavam as margens e sustentavam a agricultura.;True;False
ARENA6-HIS-014;História;Ciências Humanas;EF06HI07;Escrita;medio;museu;;A escrita cuneiforme foi desenvolvida principalmente pelos:;Sumérios;Romanos;Maias;Incas;A;Os sumérios registravam sinais em tabuletas de argila.;True;False
ARENA6-HIS-015;História;Ciências Humanas;EF06HI07;Egito Antigo;medio;museu;;Os hieróglifos eram um sistema de escrita usado no:;Egito Antigo;Império Inca;Brasil colonial;Japão medieval;A;Hieróglifos eram empregados pelos antigos egípcios.;True;False
ARENA6-HIS-016;História;Ciências Humanas;EF06HI09;Grécia Antiga;medio;museu;;A pólis grega era:;Uma cidade-Estado;Um tipo de navio;Uma moeda romana;Uma pirâmide;A;Cada pólis possuía organização política e social própria.;True;False
ARENA6-HIS-017;História;Ciências Humanas;EF06HI10;Democracia ateniense;medio;museu;;Na democracia ateniense antiga, a participação política era:;Restrita a parte dos homens cidadãos;Universal para todos os habitantes;Exclusiva de estrangeiros;Proibida aos cidadãos;A;Mulheres, escravizados e estrangeiros não participavam como cidadãos.;True;False
ARENA6-HIS-018;História;Ciências Humanas;EF06HI11;Roma Antiga;medio;museu;;A República Romana foi marcada pela existência de instituições como:;Senado;Faraó;Pólis espartana;Templo maia;A;O Senado teve papel central na República Romana.;True;False
ARENA6-HIS-019;História;Ciências Humanas;EF06HI12;Sociedade romana;medio;museu;;Na Roma Antiga, os patrícios eram:;Membros de famílias aristocráticas;Escravizados libertos apenas;Comerciantes estrangeiros obrigatoriamente;Sacerdotes egípcios;A;Patrícios formavam a elite tradicional romana.;True;False
ARENA6-HIS-020;História;Ciências Humanas;EF06HI13;Império Romano;medio;museu;;Uma consequência da expansão romana foi:;A incorporação de diversos povos e territórios;O fim de todas as estradas;O desaparecimento do comércio mediterrâneo;A ausência de conflitos;A;Roma dominou extensas áreas e integrou populações diversas.;True;False
ARENA6-HIS-021;História;Ciências Humanas;EF06HI14;Cidadania;medio;museu;;O conceito de cidadania mudou ao longo do tempo porque:;Direitos e formas de participação foram ampliados e transformados;Sempre incluiu todas as pessoas da mesma forma;Nunca esteve ligado a direitos;Existe apenas na Antiguidade;A;A cidadania é histórica e varia conforme as sociedades.;True;False
ARENA6-HIS-022;História;Ciências Humanas;EF06HI15;Trabalho e escravidão;medio;museu;;A escravidão antiga deve ser estudada como:;Uma relação histórica de exploração e falta de liberdade;Uma forma de trabalho sempre voluntária;Uma prática sem consequências sociais;Um costume natural e imutável;A;A escravidão retirava liberdade e submetia pessoas à exploração.;True;False
ARENA6-HIS-023;História;Ciências Humanas;EF06HI16;Idade Média;medio;museu;;O feudo era principalmente:;Uma unidade de terra e produção;Uma embarcação;Uma assembleia grega;Um templo egípcio;A;O feudo reunia terras, produção e relações sociais no mundo medieval.;True;False
ARENA6-HIS-024;História;Ciências Humanas;EF06HI17;Sociedade feudal;medio;museu;;Na sociedade feudal europeia, os servos:;Trabalhavam nas terras e tinham obrigações com o senhor;Eram reis de outros países;Viviam sem qualquer obrigação;Controlavam todo o comércio marítimo;A;Servos estavam ligados à terra e cumpriam obrigações.;True;False
ARENA6-HIS-025;História;Ciências Humanas;EF06HI18;Religião e cultura medieval;medio;museu;;Na Europa medieval, mosteiros contribuíram para:;Preservar e copiar manuscritos;Eliminar toda produção escrita;Construir pirâmides egípcias;Criar a escrita cuneiforme;A;Monges copiaram textos e preservaram parte do conhecimento escrito.;True;False
ARENA6-HIS-026;História;Ciências Humanas;EF06HI19;Diversidade cultural;medio;museu;;Estudar diferentes povos antigos é importante para:;Reconhecer a diversidade de experiências humanas;Concluir que todas as sociedades eram iguais;Valorizar apenas uma cultura;Ignorar permanências e mudanças;A;A História compara sociedades e evidencia diversidade cultural.;True;False
ARENA6-HIS-027;História;Ciências Humanas;EF06HI02;Patrimônio;medio;museu;;Preservar um documento histórico é importante porque ele:;Ajuda a manter a memória social;Serve apenas como decoração;Impede novas pesquisas;Não contém informações;A;Documentos permitem investigar experiências de outras épocas.;True;False
ARENA6-HIS-028;História;Ciências Humanas;EF06HI01;Periodização;medio;museu;;A divisão da História em períodos é:;Uma forma de organizar o estudo do tempo;Uma regra natural igual para todos os povos;Uma prova de que nada muda;Um calendário escolar;A;Periodizações são construções usadas para organizar e interpretar processos históricos.;True;False
ARENA6-HIS-029;História;Ciências Humanas;EF06HI05;Tecnologia pré-histórica;medio;museu;;O domínio do fogo permitiu aos grupos humanos:;Aquecer-se, cozinhar e afastar animais;Produzir eletricidade industrial;Criar automóveis;Navegar por satélite;A;O fogo trouxe proteção, calor e novas formas de preparar alimentos.;True;False
ARENA6-HIS-030;História;Ciências Humanas;EF06HI07;Organização política;medio;museu;;Nas primeiras civilizações, a organização do Estado relacionou-se a:;Administração, leis e controle de recursos;Ausência completa de autoridades;Fim da agricultura;Desaparecimento das cidades;A;Estados antigos organizaram tributos, obras, leis e defesa.;True;False
ARENA6-GEO-001;Geografia;Ciências Humanas;EF06GE01;Paisagem;medio;floresta;;Uma paisagem é formada por:;Elementos naturais e culturais percebidos no espaço;Somente árvores;Apenas prédios;Somente pessoas;A;Paisagens reúnem elementos da natureza e transformações humanas.;True;False
ARENA6-GEO-002;Geografia;Ciências Humanas;EF06GE01;Transformação da paisagem;medio;floresta;;A construção de uma estrada em área rural é exemplo de:;Transformação da paisagem pela ação humana;Fenômeno sem relação com a sociedade;Movimento de rotação;Formação de uma célula;A;A obra altera elementos e usos do espaço.;True;False
ARENA6-GEO-003;Geografia;Ciências Humanas;EF06GE02;Povos e paisagens;medio;floresta;;Os modos de vida de diferentes povos influenciam:;A organização e a transformação das paisagens;Somente a forma da Lua;A composição do núcleo terrestre;A duração do dia;A;Práticas culturais e econômicas marcam o espaço vivido.;True;False
ARENA6-GEO-004;Geografia;Ciências Humanas;EF06GE03;Ciclo da água;medio;floresta;;A passagem da água líquida para vapor é chamada de:;Evaporação;Condensação;Precipitação;Infiltração;A;Evaporação é a mudança do estado líquido para o gasoso.;True;False
ARENA6-GEO-005;Geografia;Ciências Humanas;EF06GE03;Ciclo da água;medio;floresta;;A chuva ocorre após processos como:;Evaporação e condensação;Somente erosão;Combustão e fusão;Imantação;A;O vapor condensa em nuvens e pode precipitar.;True;False
ARENA6-GEO-006;Geografia;Ciências Humanas;EF06GE04;Relevo;medio;floresta;;Montanhas, planaltos, planícies e depressões são formas de:;Relevo;Clima;Vegetação apenas;Fuso horário;A;Essas categorias descrevem formas da superfície terrestre.;True;False
ARENA6-GEO-007;Geografia;Ciências Humanas;EF06GE05;Intemperismo e erosão;medio;floresta;;A erosão é:;O desgaste e transporte de materiais da superfície;A produção de energia elétrica;A formação de células;O movimento de um relógio;A;Água, vento e outras forças desgastam e transportam sedimentos.;True;False
ARENA6-GEO-008;Geografia;Ciências Humanas;EF06GE05;Solo;medio;floresta;;Uma prática que ajuda a reduzir a erosão do solo é:;Manter cobertura vegetal;Retirar toda vegetação;Queimar encostas;Deixar o solo sempre exposto;A;Raízes e cobertura vegetal protegem o solo.;True;False
ARENA6-GEO-009;Geografia;Ciências Humanas;EF06GE06;Clima e vegetação;medio;floresta;;A vegetação de um lugar relaciona-se, entre outros fatores, a:;Clima, solo e disponibilidade de água;Somente ao nome da cidade;Apenas às placas de trânsito;Ao formato dos prédios;A;Condições ambientais influenciam os tipos de vegetação.;True;False
ARENA6-GEO-010;Geografia;Ciências Humanas;EF06GE07;Uso da terra;medio;floresta;;A agricultura é uma atividade ligada principalmente:;Ao cultivo do solo;À construção de satélites;Ao movimento das marés apenas;À produção de mapas;A;Agricultura envolve o cultivo de plantas para diferentes finalidades.;True;False
ARENA6-GEO-011;Geografia;Ciências Humanas;EF06GE08;Cartografia;medio;floresta;;Em um mapa, a legenda serve para:;Explicar símbolos e cores;Substituir a escala;Mostrar somente o título;Indicar o preço;A;A legenda apresenta o significado dos símbolos cartográficos.;True;False
ARENA6-GEO-012;Geografia;Ciências Humanas;EF06GE08;Cartografia;medio;floresta;;A escala de um mapa indica:;A relação entre a medida no mapa e a medida real;A idade do cartógrafo;A temperatura do papel;O número de cidades do país;A;A escala permite calcular ou compreender distâncias reais.;True;False
ARENA6-GEO-013;Geografia;Ciências Humanas;EF06GE08;Orientação;medio;floresta;;Os pontos cardeais são:;Norte, Sul, Leste e Oeste;Alto, baixo, frente e trás;Rio, serra, vale e planície;Quente, frio, seco e úmido;A;Norte, Sul, Leste e Oeste são referências básicas de orientação.;True;False
ARENA6-GEO-014;Geografia;Ciências Humanas;EF06GE08;Orientação;medio;floresta;;O Sol nasce aproximadamente no:;Leste;Oeste;Norte;Sul;A;O movimento aparente do Sol começa no lado leste.;True;False
ARENA6-GEO-015;Geografia;Ciências Humanas;EF06GE09;Coordenadas;medio;floresta;;Latitude é a distância, em graus, em relação:;À Linha do Equador;Ao Meridiano de Greenwich apenas;Ao nível do mar;À capital do estado;A;Latitudes são medidas ao norte ou sul do Equador.;True;False
ARENA6-GEO-016;Geografia;Ciências Humanas;EF06GE09;Coordenadas;medio;floresta;;Longitude é medida a partir do:;Meridiano de Greenwich;Trópico de Capricórnio;Círculo Polar Ártico;Rio Amazonas;A;Greenwich é o meridiano de referência para longitudes.;True;False
ARENA6-GEO-017;Geografia;Ciências Humanas;EF06GE10;Clima;medio;floresta;;Tempo atmosférico refere-se:;À condição momentânea da atmosfera;À média de muitos anos apenas;À idade das rochas;Ao formato do relevo;A;Tempo descreve condições como chuva, temperatura e vento em curto prazo.;True;False
ARENA6-GEO-018;Geografia;Ciências Humanas;EF06GE10;Clima;medio;floresta;;Clima corresponde:;Ao comportamento médio da atmosfera ao longo de muitos anos;Somente à chuva de hoje;À direção de uma rua;À quantidade de moradores;A;Clima é observado por padrões de longo período.;True;False
ARENA6-GEO-019;Geografia;Ciências Humanas;EF06GE11;Biodiversidade;medio;floresta;;Biodiversidade significa:;Variedade de seres vivos e ecossistemas;Quantidade de prédios;Número de estradas;Apenas espécies domésticas;A;O conceito envolve diversidade genética, de espécies e de ecossistemas.;True;False
ARENA6-GEO-020;Geografia;Ciências Humanas;EF06GE11;Biomas;medio;floresta;;A Floresta Amazônica caracteriza-se por:;Grande biodiversidade e clima quente e úmido em extensas áreas;Predomínio de gelo permanente;Ausência de rios;Vegetação exclusivamente rasteira;A;A Amazônia abriga alta diversidade em ambiente predominantemente quente e úmido.;True;False
ARENA6-GEO-021;Geografia;Ciências Humanas;EF06GE12;Recursos hídricos;medio;floresta;;Uma bacia hidrográfica é:;A área drenada por um rio principal e seus afluentes;Um reservatório artificial apenas;Uma montanha isolada;Uma região sem água;A;A bacia reúne terras cujas águas escoam para um mesmo sistema fluvial.;True;False
ARENA6-GEO-022;Geografia;Ciências Humanas;EF06GE12;Água;medio;floresta;;Qual ação contribui para conservar a água?;Corrigir vazamentos;Deixar torneiras abertas;Jogar óleo na pia;Lavar calçadas continuamente;A;Evitar perdas e contaminação ajuda a conservar recursos hídricos.;True;False
ARENA6-GEO-023;Geografia;Ciências Humanas;EF06GE13;Atividades econômicas;medio;floresta;;Extrativismo é a atividade de:;Retirar recursos diretamente da natureza;Produzir apenas softwares;Construir escolas;Transportar passageiros;A;O extrativismo coleta recursos vegetais, animais ou minerais.;True;False
ARENA6-GEO-024;Geografia;Ciências Humanas;EF06GE13;Espaço rural e urbano;medio;floresta;;O espaço urbano costuma apresentar maior concentração de:;Edificações, serviços e infraestrutura;Florestas intocadas apenas;Áreas agrícolas extensas somente;Ausência de população;A;Cidades concentram construções, serviços, comércio e redes técnicas.;True;False
ARENA6-GEO-025;Geografia;Ciências Humanas;EF06GE01;Lugar;medio;floresta;;Em Geografia, “lugar” relaciona-se:;Ao espaço vivido e às relações das pessoas com ele;Somente a um ponto no mapa;A um local sem significado;Apenas a países distantes;A;Lugar envolve vivências, identidades e vínculos.;True;False
ARENA6-GEO-026;Geografia;Ciências Humanas;EF06GE08;Mapa;medio;floresta;;O título de um mapa informa principalmente:;O assunto ou fenômeno representado;A distância real entre todos os pontos;O significado de cada cor;A direção do norte obrigatoriamente;A;O título identifica o tema e o recorte do mapa.;True;False
ARENA6-GEO-027;Geografia;Ciências Humanas;EF06GE05;Ação humana;medio;floresta;;O desmatamento pode causar:;Perda de habitats e aumento da erosão;Formação imediata de novas florestas;Redução de todos os impactos;Aumento da biodiversidade em qualquer situação;A;A retirada da vegetação afeta espécies e deixa o solo mais exposto.;True;False
ARENA6-GEO-028;Geografia;Ciências Humanas;EF06GE03;Infiltração;medio;floresta;;A infiltração da água no solo contribui para:;Recarregar águas subterrâneas;Impedir qualquer ciclo da água;Transformar água em metal;Paralisar os rios;A;Parte da água penetra no solo e alimenta aquíferos.;True;False
ARENA6-GEO-029;Geografia;Ciências Humanas;EF06GE10;Instrumentos meteorológicos;medio;floresta;;O termômetro mede:;Temperatura;Direção do vento;Quantidade de chuva;Pressão demográfica;A;Termômetros registram temperatura.;True;False
ARENA6-GEO-030;Geografia;Ciências Humanas;EF06GE10;Instrumentos meteorológicos;medio;floresta;;O pluviômetro mede:;Quantidade de chuva;Velocidade de carros;Latitude;Temperatura corporal;A;O pluviômetro registra o volume de precipitação.;True;False
ARENA6-ING-001;Língua Inglesa;Linguagens;EF06LI16;Saudações;facil;biblioteca;;What does “Good morning” mean?;Boa noite;Bom dia;Até logo;Obrigado;B;“Good morning” é usado para cumprimentar pela manhã.;True;False
ARENA6-ING-002;Língua Inglesa;Linguagens;EF06LI16;Saudações;facil;biblioteca;;Which expression can be used to say goodbye?;See you!;Good morning!;What is your name?;Thank you!;A;“See you!” significa “Até mais!”.;True;False
ARENA6-ING-003;Língua Inglesa;Linguagens;EF06LI19;Verb to be;facil;biblioteca;;Complete: “I ___ a student.”;am;is;are;be;A;Com o pronome I, usa-se “am”.;True;False
ARENA6-ING-004;Língua Inglesa;Linguagens;EF06LI19;Verb to be;facil;biblioteca;;Complete: “She ___ my friend.”;am;is;are;be;B;Com she, usa-se “is”.;True;False
ARENA6-ING-005;Língua Inglesa;Linguagens;EF06LI19;Verb to be;facil;biblioteca;;Complete: “They ___ in the classroom.”;am;is;are;be;C;Com they, usa-se “are”.;True;False
ARENA6-ING-006;Língua Inglesa;Linguagens;EF06LI23;Possessive adjectives;facil;biblioteca;;Complete: “I have a book. ___ book is blue.”;My;Your;His;Their;A;“My” indica algo que pertence a I.;True;False
ARENA6-ING-007;Língua Inglesa;Linguagens;EF06LI23;Possessive adjectives;facil;biblioteca;;Complete: “Ana has a pencil. ___ pencil is new.”;My;Her;Our;Their;B;Para algo pertencente a Ana/she, usa-se “her”.;True;False
ARENA6-ING-008;Língua Inglesa;Linguagens;EF06LI17;School vocabulary;facil;biblioteca;;What is “library” in Portuguese?;Laboratório;Biblioteca;Quadra;Secretaria;B;“Library” significa biblioteca.;True;False
ARENA6-ING-009;Língua Inglesa;Linguagens;EF06LI17;School vocabulary;facil;biblioteca;;Which word means “caderno”?;Notebook;Window;Chair;Teacher;A;“Notebook” pode significar caderno.;True;False
ARENA6-ING-010;Língua Inglesa;Linguagens;EF06LI17;Family vocabulary;facil;biblioteca;;What does “brother” mean?;Irmã;Irmão;Pai;Primo;B;“Brother” significa irmão.;True;False
ARENA6-ING-011;Língua Inglesa;Linguagens;EF06LI17;Family vocabulary;facil;biblioteca;;Which word means “mãe”?;Mother;Father;Sister;Aunt;A;“Mother” significa mãe.;True;False
ARENA6-ING-012;Língua Inglesa;Linguagens;EF06LI09;Reading;facil;biblioteca;;Text: “Lucas is twelve years old and lives in Cruzeiro do Sul.” How old is Lucas?;Ten;Eleven;Twelve;Thirteen;C;The text says Lucas is twelve years old.;True;False
ARENA6-ING-013;Língua Inglesa;Linguagens;EF06LI09;Reading;facil;biblioteca;;Text: “My favorite subject is Science.” What is the favorite subject?;Math;Science;History;Art;B;The sentence explicitly names Science.;True;False
ARENA6-ING-014;Língua Inglesa;Linguagens;EF06LI08;Reading;facil;biblioteca;;Text: “The school garden has flowers, trees and a small pond.” The text is mainly about:;A school garden;A sports game;A family;A bus;A;The sentence describes the school garden.;True;False
ARENA6-ING-015;Língua Inglesa;Linguagens;EF06LI04;Cognates;facil;biblioteca;;Which word is a cognate of “animal”?;Animal;House;Book;Water;A;“Animal” has similar spelling and meaning in both languages.;True;False
